decade,year,gener,source,left_context,keyword,right_context,text,dm_code,notes,auto_code,confidence,reason
1820,1826,FIC,LastMohicansANarrative1757,saw that he was one of them uneasy Frenchers; and,well,for him it was that his speech was friendly and,"  ; "" I soon saw that he was one of them uneasy Frenchers; and well for him it was that his speech was friendly and his wishes kind, or",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,them come up within striking distance -- my eye may,well,be trusted in such a matter -- and I will,  holding a council. Let them come up within striking distance -- my eye may well be trusted in such a matter -- and I will trail the varlets the length,0,NA,0,high,Fixed phrase: as well / may well
1820,1826,FIC,LastMohicansANarrative1757,"his looks slowly and cautiously around him. "" This is","well,",""" continued Heyward; "" and Le Renard will have strength","  not without first bending his looks slowly and cautiously around him. "" This is well, "" continued Heyward; "" and Le Renard will have strength and sight to",1,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,prends-tu pour un provincial! Je suis capitaine de chasseurs (Heyward,well,knew that the other was of a regiment in the,  camarade; me prends-tu pour un provincial! Je suis capitaine de chasseurs (Heyward well knew that the other was of a regiment in the line); j'ai ici,0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,and he knew the windings of an Indian's path too,well,to suppose that its apparent course led directly to its,"  so soon forgotten; and he knew the windings of an Indian's path too well to suppose that its apparent course led directly to its object, when artifice was",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,continent have an Asiatic origin. There are many physical as,well,"as moral facts which corroborate this opinion, and some few","  Aborigines of the American continent have an Asiatic origin. There are many physical as well as moral facts which corroborate this opinion, and some few that would seem to",0,NA,0,high,Fixed phrase: as well / may well
1820,1826,FIC,LastMohicansANarrative1757,"you, "" said Duncan; "" I know the sound full","well,",for often have I heard it on the field of,"  who can undeceive you, "" said Duncan; "" I know the sound full well, for often have I heard it on the field of battle, and in",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,"of deer-paths which run to the streams and licks, places",well,known to everybody; nor have the geese done their flight,"  The woods are full of deer-paths which run to the streams and licks, places well known to everybody; nor have the geese done their flight to the Canada waters",0,NA,0,high,Compound: well + adjective
1820,1826,FIC,LastMohicansANarrative1757,"followers of the large chief; in consequence, its owner, as",well,"as Duncan, was compelled to journey on foot. The latter","  with the followers of the large chief; in consequence, its owner, as well as Duncan, was compelled to journey on foot. The latter did not,",0,NA,0,high,Fixed phrase: as well / may well
1820,1826,FIC,LastMohicansANarrative1757,"no uncomfortable pillow, where brush and pine wood is scarce;","well,","the fall was once a few yards below us, and","  ; it makes no uncomfortable pillow, where brush and pine wood is scarce; well, the fall was once a few yards below us, and I dare to",1,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,"of kind solicitude from his mind. "" You are not","well,","dearest Miss Munro! "" he exclaimed; "" we have trifled","  every thought but that of kind solicitude from his mind. "" You are not well, dearest Miss Munro! "" he exclaimed; "" we have trifled while you",0,NA,0,high,Noun: the well
1820,1826,FIC,LastMohicansANarrative1757,and your mongrel Mohawk knows where to find them too,well,"to be my companion. "" "" Think you so? ""","  full of outlying Iroquois, and your mongrel Mohawk knows where to find them too well to be my companion. "" "" Think you so? "" said Heyward,",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,either had sustained any injury by the fire; for both,well,"knew that no cry or exclamation would, in such a","  , to learn if either had sustained any injury by the fire; for both well knew that no cry or exclamation would, in such a moment of necessity have",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,"the subject. "" Treaty or no treaty, I know full",well,that your two companions are brave and cautious warriors! have,"  discussion, changed the subject. "" Treaty or no treaty, I know full well that your two companions are brave and cautious warriors! have they heard or seen",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,"or they will wait for reinforcements. "" The scheme was",well,"conceived, but failed in its effects. The instant the French","  and give way, or they will wait for reinforcements. "" The scheme was well conceived, but failed in its effects. The instant the French heard the pieces",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,"quick and close between them, but either party was too",well,skilled to leave even a limb exposed to the hostile,"  of rifles was then quick and close between them, but either party was too well skilled to leave even a limb exposed to the hostile aim. Duncan listened with",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,"a finish of the whole pack; yon loping varlet, as",well,"as his commerades. But' t was all fore-ordered, and for","  would have made a finish of the whole pack; yon loping varlet, as well as his commerades. But' t was all fore-ordered, and for the best",0,NA,0,high,Fixed phrase: as well / may well
1820,1826,FIC,LastMohicansANarrative1757,"the vanity of the Indian. "" His corn is not",well,"parched, and it seems dry. Let me examine; perhaps something","  found most flattering to the vanity of the Indian. "" His corn is not well parched, and it seems dry. Let me examine; perhaps something may be",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,"the war-whoop, you will never mistake it for anything else.","Well,","Uncas! "" speaking in Delaware to the young chief as","  you once hear the war-whoop, you will never mistake it for anything else. Well, Uncas! "" speaking in Delaware to the young chief as he re-entered,",1,NA,1,high,DM: Sentence-initial + comma/punct
1820,1826,FIC,LastMohicansANarrative1757,"more glossy and curling, I have ever found mine own",well,suited to the brain they shelter. That I did not,"  other men may be more glossy and curling, I have ever found mine own well suited to the brain they shelter. That I did not join myself to the",0,NA,0,high,Compound: well + adjective
1820,1826,FIC,LastMohicansANarrative1757,"Indian always illustrates his eloquence. At first, the language, as",well,"as the action of Magua, appeared calm and deliberative. When","  which an Indian always illustrates his eloquence. At first, the language, as well as the action of Magua, appeared calm and deliberative. When he had succeeded",0,NA,0,high,Fixed phrase: as well / may well
1820,1826,FIC,LastMohicansANarrative1757,"dignity and anxious grace, that served to amuse Heyward, who",well,knew that it was an utter innovation on the Indian,"  a mixture of dignity and anxious grace, that served to amuse Heyward, who well knew that it was an utter innovation on the Indian customs, which forbid their",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,silent. Magua seemed also content to rest the controversy as,well,"as all further communication there, for he resumed the leaning","  apology, he remained silent. Magua seemed also content to rest the controversy as well as all further communication there, for he resumed the leaning attitude against the rock",0,NA,0,high,Fixed phrase: as well / may well
1830,1835,FIC,Monikins,"a whole life. "" Thou art come at last, Jack!","Well,","my loss will be thy gain, boy! Send the nurse","  merry for a whole life. "" Thou art come at last, Jack! Well, my loss will be thy gain, boy! Send the nurse from the",1,NA,1,high,DM: Sentence-initial + comma/punct
1830,1835,FIC,Monikins,"grace and decorum, he answered as follows. I may as",well,state in this place that he spoke the French about,"  tail with singular grace and decorum, he answered as follows. I may as well state in this place that he spoke the French about as well as an Englishman",0,NA,0,high,Fixed phrase: as well / may well
1830,1835,FIC,Monikins,Doctor paused; for on such occasions it is perhaps as,well,to let the party that is about to be shocked,"  it. "" The Doctor paused; for on such occasions it is perhaps as well to let the party that is about to be shocked receive a little of the",0,NA,0,high,Fixed phrase: as well / may well
1830,1835,FIC,Monikins,"properly improved, are of themselves a mine of wealth, as",well,as to gain a knowledge of the important truth that,"  , which, properly improved, are of themselves a mine of wealth, as well as to gain a knowledge of the important truth that the greatest events of this",0,NA,0,high,Fixed phrase: as well / may well
1830,1835,FIC,Monikins,"much affected, also, bacon and poultry. Perhaps it might be",well,to purchase samples of lots from all the different stocks,"  . He much affected, also, bacon and poultry. Perhaps it might be well to purchase samples of lots from all the different stocks in market. In reply",0,NA,NA,low,MANUAL REVIEW NEEDED
1830,1835,FIC,Monikins,"when there is occasion to go anywhere, to settle it",well,"in my mind as to the place, and then to","  My way is, when there is occasion to go anywhere, to settle it well in my mind as to the place, and then to make as straight a",0,NA,NA,low,MANUAL REVIEW NEEDED
1830,1835,FIC,Monikins,"admitting my ignorance, desired an explanation of the term, as",well,"as a more general insight into the origin, history, hopes,","  ; and, admitting my ignorance, desired an explanation of the term, as well as a more general insight into the origin, history, hopes, and polity",0,NA,0,high,Fixed phrase: as well / may well
1830,1835,FIC,Monikins,"there was. no resisting it; and, suppressing my curiosity as",well,"as I could, the bell was rung. I retired to","  plausible that there was. no resisting it; and, suppressing my curiosity as well as I could, the bell was rung. I retired to my bed-chamber to",0,NA,0,high,Fixed phrase: as well / may well
1830,1835,FIC,Monikins,"not think pride of birth, father, a mistaken prejudice as",well,"as pride of riches? "" "" Pride of any sort,","  And do you not think pride of birth, father, a mistaken prejudice as well as pride of riches? "" "" Pride of any sort, my love,",0,NA,0,high,Fixed phrase: as well / may well
1830,1835,FIC,Monikins,"be less disturbed, and consequently more satisfactory. The proposal was",well,"received, and we left the brawlers, walking by the outer","  our discourse would be less disturbed, and consequently more satisfactory. The proposal was well received, and we left the brawlers, walking by the outer boulevards towards my",0,NA,NA,low,MANUAL REVIEW NEEDED
1830,1835,FIC,Monikins,"an offence against the simplicity of the monikin dialect, as",well,"as against monikin taste, that would have been sufficient, under","  to prevent tautology, an offence against the simplicity of the monikin dialect, as well as against monikin taste, that would have been sufficient, under our opinions,",0,NA,0,high,Fixed phrase: as well / may well
1830,1835,FIC,Monikins,for that was the name of the craft I lost.,"Well,","the best of us are but frail, and the longest-winded","  to anything else, for that was the name of the craft I lost. Well, the best of us are but frail, and the longest-winded man is no",1,NA,1,high,DM: Sentence-initial + comma/punct
1830,1835,FIC,Monikins,I had been singularly favored in having a man so,well,"adapted to their regeneration thrown as it were by Providence,","  it appeared to me that I had been singularly favored in having a man so well adapted to their regeneration thrown as it were by Providence, and in a manner",0,NA,NA,low,MANUAL REVIEW NEEDED
1830,1835,FIC,Monikins,"let this bargain come to a catastrophe, it might as",well,"be done now. The females have been cunning, but the","  we ever mean to let this bargain come to a catastrophe, it might as well be done now. The females have been cunning, but the deuce is in",0,NA,0,high,Fixed phrase: as well / may well
1830,1835,FIC,Monikins,"of the deceased, "" I said, "" I do not",well,"see, gentlemen, how this subject should interest in this lively","  only known relative of the deceased, "" I said, "" I do not well see, gentlemen, how this subject should interest in this lively manner so many",0,NA,NA,low,MANUAL REVIEW NEEDED
1830,1835,FIC,Monikins,"on the subject of taxation, however, were singularly caustic, and",well,"applied. He railed at the public debt, as a public","  his remarks on the subject of taxation, however, were singularly caustic, and well applied. He railed at the public debt, as a public curse, and",0,NA,NA,low,MANUAL REVIEW NEEDED
1830,1835,FIC,Monikins,""" If this be really so, Doctor, it may be",well,"for me to go to her, since one in the","  length resumed: "" If this be really so, Doctor, it may be well for me to go to her, since one in the situation of the poor",0,NA,NA,low,MANUAL REVIEW NEEDED
1830,1835,FIC,Monikins,"articles, such as mustard, porter, pickles, and corned beef, as",well,as for the forwarding of pictures and statues to the,"  articles, such as mustard, porter, pickles, and corned beef, as well as for the forwarding of pictures and statues to the lovers of the arts and",0,NA,0,high,Fixed phrase: as well / may well
1830,1835,FIC,Monikins,"guinea at each visit, with scrupulous punctuality; the nurses were",well,"received and were well satisfied, for no one interfered with","  physician got his guinea at each visit, with scrupulous punctuality; the nurses were well received and were well satisfied, for no one interfered with their acts but the",0,NA,NA,low,MANUAL REVIEW NEEDED
1830,1835,FIC,Monikins,he had been a man of very peculiar opinions as,well,"as habits. The will was all in his own handwriting,","  father and I knew that he had been a man of very peculiar opinions as well as habits. The will was all in his own handwriting, and it was",0,NA,0,high,Fixed phrase: as well / may well
1830,1835,FIC,Monikins," at each visit, with scrupulous punctuality; the nurses were",well,"received and were well satisfied, for no one interfered with","  at each visit, with scrupulous punctuality; the nurses were well received and were well satisfied, for no one interfered with their acts but the doctor; and every",0,NA,NA,low,MANUAL REVIEW NEEDED
1830,1835,FIC,Monikins,"his provident master, and although he understood them about as",well,as they will be understood by the owners of half,"  on these allusions of his provident master, and although he understood them about as well as they will be understood by the owners of half the soft humid eyes and",0,NA,0,high,Fixed phrase: as well / may well
1830,1835,FIC,Monikins,"of enumeration, of knowing your acquaintances from behind, quite as",well,"as if you met them face to face! "" ""","  under this mode of enumeration, of knowing your acquaintances from behind, quite as well as if you met them face to face! "" "" The suggestion is ingenious",0,NA,0,high,Fixed phrase: as well / may well
1830,1835,FIC,Monikins,her head and displays the bauble thou sold'st her yesterday:,"well,","even that slattern, idle and vain, and little worthy of","  an air she tosses her head and displays the bauble thou sold'st her yesterday: well, even that slattern, idle and vain, and little worthy of trust as",1,NA,NA,low,MANUAL REVIEW NEEDED
1830,1835,FIC,Monikins,"Money is no consideration with me, Captain Poke. "" ""","Well,",this is an idee that has brought many a more,"  . "" "" Money is no consideration with me, Captain Poke. "" "" Well, this is an idee that has brought many a more difficult contract at once",1,NA,NA,low,MANUAL REVIEW NEEDED
1830,1835,FIC,Monikins,"Almanac, and the State Laws excepted. I remember Sir John","well,","and shall gainsay nothing he testifies to, for the reason","  Bible, the Almanac, and the State Laws excepted. I remember Sir John well, and shall gainsay nothing he testifies to, for the reason that friends should",0,NA,NA,low,MANUAL REVIEW NEEDED
